,matrizes,dimensao,nao_nulos,esparsidade,tempos_metPotSim,interacoes_metPotSim,raio_esp_metPotSim,tempos_metPotInv,interacoes_metPotInv,raio_esp_metPotInv,tempos_QR,raio_esp_QR,menor_autoValor_QR,erro_metPotSim,erro_metPotInv
6,Trefethen_20/Trefethen_20.mtx,20,158,0.605,0.09360122680664062,61,71.51242892203196,0.0037267208099365226,7,71.51242877609221,0.010169029235839844,71.47995567824454,1.1335237713572952,0.03247324378742178,0.03247309784767083
3,mesh1em6/mesh1em6.mtx,48,306,0.8671875,0.03645205497741698,33,7.2059887849452515,0.01328897476196289,22,7.205989033544233,0.02315497398376465,7.203349103015772,1.1799585702152509,0.002639681929479387,0.0026399305284607877
4,mesh1e1/mesh1e1.mtx,48,306,0.8671875,0.04384279251098633,75,9.134156993655354,0.007684230804443359,27,9.134158285312171,0.010474681854248049,9.101200871457634,1.7400943518583685,0.032956122197720816,0.032957413854537876
8,nos4/nos4.mtx,100,594,0.9406,0.12404966354370114,86,0.8491368901515353,0.03937554359436035,108,0.8491363751047216,0.11644482612609865,0.8450232974570805,0.0005379528369268569,0.004113592694454771,0.004113077647641128
2,bcsstk05/bcsstk05.mtx,153,2423,0.8964928019137939,0.1658787727355957,45,6197272.620441859,0.02034926414489746,25,6197284.753654504,0.17963314056396484,6197286.141737494,437.6126578941685,-13.521295635029674,-1.3880829894915223
5,mesh2e1/mesh2e1.mtx,306,2018,0.9784484599940194,0.03859424591064453,16,381.30060325458356,0.025919198989868164,10,381.30060665057687,1.062819480895996,381.3006091333276,1.3266807551102604,-5.878744048004592e-06,-2.482750744547957e-06
0,bcsstm20/bcsstm20.mtx,485,485,0.9979381443298968,0.2828011512756348,279,47795715.42584589,0.007531642913818359,2,47853871.91062378,2.1315367221832275,47795550.61535,187.154177135,164.81049589067698,58321.29527378082
7,Trefethen_700/Trefethen_700.mtx,700,12654,0.9741755102040816,13.41753101348877,301,5278.101152728368,1.1321098804473877,10,5279.287063506993,6.101470947265625,5275.884605236136,1.1207738556228657,2.2165474922321664,3.402458270857096
1,bcsstk10/bcsstk10.mtx,1086,22070,0.9812870316670568,3.0046312808990483,123,44742929.14704544,0.3916335105895996,53,44743055.93723729,19.54389595985413,44247146.920768574,85.41227393326875,495782.2262768671,495909.01646871865
9,nasa1824/nasa1824.mtx,1824,39208,0.988215123884272,3.6650924682617188,84,21217171.61981841,2.5210354328155518,53,21217171.4427373,87.49620509147644,21217165.6504155,11.190578624362614,5.96940291300416,5.792321801185608
