,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0,0.5,7.0,0.7179965972900391,0.13682949208625525,-1.0
1,1,0.6,6.0,0.6294362545013428,0.04376792525107213,-1.0
2,2,0.7,5.0,0.4970061779022217,0.01904292765497783,-1.0
3,3,0.7999999999999999,4.0,0.39630818367004395,0.010536322727066758,-1.0
4,4,0.8999999999999999,4.0,0.39862704277038574,0.0017640468188426048,-1.0
5,5,0.9999999999999999,5.0,0.4941108226776123,5.070765753740033e-06,-1.0
6,6,1.0999999999999999,6.0,0.5970289707183838,9.544785868699521e-06,-1.0
7,7,1.2,7.0,0.6925044059753418,6.67910725986254e-05,-1.0
8,8,1.3,8.0,0.7937057018280029,0.00034091892829346673,-1.0
9,9,1.4000000000000001,10.0,0.9576177597045898,0.0004603200487543775,-1.0
10,10,1.5000000000000002,12.0,1.1749138832092285,0.0012848665190423943,-1.0
11,11,1.6000000000000003,16.0,1.5307488441467285,0.0012632188450968918,-1.0
12,12,1.7000000000000004,21.0,2.0288240909576416,0.0036477881792457423,-1.0
13,13,1.8000000000000005,32.0,3.078796148300171,0.005183517356594305,-1.0
14,14,1.9000000000000006,64.0,6.137143135070801,0.010004001728648909,-1.0
15,15,2.0000000000000004,300.0,30.11039924621582,7016.94717774886,-1.0
16,0,0.5,12.0,1.2890329360961914,0.001141039852142294,-2.0
17,1,0.6,10.0,1.0804693698883057,0.0005919514179726139,-2.0
18,2,0.7,9.0,0.9530661106109619,0.00017458871939591362,-2.0
19,3,0.7999999999999999,8.0,0.8279178142547607,4.793118168003662e-05,-2.0
20,4,0.8999999999999999,6.0,0.6231834888458252,5.0551047028411924e-05,-2.0
21,5,0.9999999999999999,5.0,0.512049674987793,5.070765753740033e-06,-2.0
22,6,1.0999999999999999,7.0,0.7194323539733887,1.4642543841901305e-07,-2.0
23,7,1.2,8.0,0.8175084590911865,3.8012674871345387e-06,-2.0
24,8,1.3,10.0,1.0319647789001465,5.387882991430237e-06,-2.0
25,9,1.4000000000000001,13.0,1.3322241306304932,2.5786239694333368e-06,-2.0
26,10,1.5000000000000002,16.0,1.6445868015289307,7.37346412303704e-06,-2.0
27,11,1.6000000000000003,20.0,2.045478582382202,2.937376583502255e-05,-2.0
28,12,1.7000000000000004,28.0,2.899303913116455,2.8473635060986413e-05,-2.0
29,13,1.8000000000000005,42.0,4.478704452514648,8.308066665605288e-05,-2.0
30,14,1.9000000000000006,88.0,9.403664588928223,8.958690026001578e-05,-2.0
31,15,2.0000000000000004,300.0,30.84376287460327,7016.94717774886,-2.0
32,0,0.5,20.0,2.16825270652771,1.0102173826347067e-05,-3.0
33,1,0.6,16.0,1.727036714553833,6.20219672111293e-06,-3.0
34,2,0.7,14.0,1.4549264907836914,1.3655205016415062e-06,-3.0
35,3,0.7999999999999999,11.0,1.146789312362671,1.124577597891829e-06,-3.0
36,4,0.8999999999999999,9.0,0.9701569080352783,3.5661547188759175e-07,-3.0
37,5,0.9999999999999999,7.0,0.7445206642150879,5.4437942754314334e-08,-3.0
38,6,1.0999999999999999,8.0,0.8502452373504639,1.7644073787885938e-09,-3.0
39,7,1.2,10.0,1.0424542427062988,1.0808100284011898e-08,-3.0
40,8,1.3,12.0,1.2332563400268555,5.36892904395858e-08,-3.0
41,9,1.4000000000000001,15.0,1.5464327335357666,9.909283138628392e-08,-3.0
42,10,1.5000000000000002,19.0,1.9497849941253662,1.6166804641721952e-07,-3.0
43,11,1.6000000000000003,25.0,2.6224677562713623,2.3237237879437323e-07,-3.0
44,12,1.7000000000000004,35.0,3.6265907287597656,1.933172984138978e-07,-3.0
45,13,1.8000000000000005,54.0,5.644078969955444,3.953311446488968e-07,-3.0
46,14,1.9000000000000006,111.0,11.335934400558472,7.581794333161211e-07,-3.0
47,15,2.0000000000000004,300.0,30.554308891296387,7016.94717774886,-3.0
48,0,0.5,28.0,3.0248730182647705,1.03771209215576e-07,-4.0
49,1,0.6,23.0,2.443652868270874,3.3069022293688184e-08,-4.0
50,2,0.7,18.0,1.9041697978973389,2.8951045998330482e-08,-4.0
51,3,0.7999999999999999,15.0,1.6273889541625977,7.792351180773461e-09,-4.0
52,4,0.8999999999999999,12.0,1.3080039024353027,2.6121575817052037e-09,-4.0
53,5,0.9999999999999999,9.0,0.9445726871490479,5.20016781605956e-10,-4.0
54,6,1.0999999999999999,9.0,0.9987456798553467,1.746392734457476e-11,-4.0
55,7,1.2,12.0,1.3056530952453613,2.5817993627030947e-11,-4.0
56,8,1.3,14.0,1.4952812194824219,6.988219364045855e-10,-4.0
57,9,1.4000000000000001,18.0,1.9301352500915527,5.38891986417876e-10,-4.0
58,10,1.5000000000000002,23.0,2.3978769779205322,9.070315090985338e-10,-4.0
59,11,1.6000000000000003,30.0,3.1153724193573,1.3573097749366486e-09,-4.0
60,12,1.7000000000000004,41.0,4.395513534545898,3.454682680747112e-09,-4.0
61,13,1.8000000000000005,64.0,6.810222387313843,4.4943489238324515e-09,-4.0
62,14,1.9000000000000006,130.0,13.64063024520874,1.41237058414017e-08,-4.0
63,15,2.0000000000000004,300.0,31.992363929748535,7016.94717774886,-4.0
64,0,0.5,36.0,3.88671612739563,1.0792561786641904e-09,-5.0
65,1,0.6,29.0,3.0449094772338867,3.7659670397773295e-10,-5.0
66,2,0.7,23.0,2.43410325050354,2.3645821091488235e-10,-5.0
67,3,0.7999999999999999,19.0,1.9997813701629639,5.4551374544417295e-11,-5.0
68,4,0.8999999999999999,15.0,1.5686330795288086,1.9303626897404324e-11,-5.0
69,5,0.9999999999999999,11.0,1.1572368144989014,4.808420241134743e-12,-5.0
70,6,1.0999999999999999,10.0,1.0558252334594727,1.5152570666268223e-13,-5.0
71,7,1.2,13.0,1.373359203338623,1.271516703165329e-12,-5.0
72,8,1.3,16.0,1.683784008026123,6.2005327143564134e-12,-5.0
73,9,1.4000000000000001,21.0,2.212419271469116,2.8981635793470412e-12,-5.0
74,10,1.5000000000000002,26.0,2.736234426498413,1.1791597116574678e-11,-5.0
75,11,1.6000000000000003,34.0,3.585514545440674,2.5558958446643988e-11,-5.0
76,12,1.7000000000000004,49.0,5.160706996917725,1.711563390981858e-11,-5.0
77,13,1.8000000000000005,73.0,7.679006338119507,7.871978278852723e-11,-5.0
78,14,1.9000000000000006,153.0,17.09883165359497,1.0772557761354721e-10,-5.0
79,15,2.0000000000000004,300.0,31.279242753982544,7016.94717774886,-5.0
80,0,0.5,44.0,4.724119424819946,1.1262002752308858e-11,-6.0
81,1,0.6,35.0,3.6581969261169434,4.3005107528242425e-12,-6.0
82,2,0.7,28.0,2.936227560043335,1.937573549140303e-12,-6.0
83,3,0.7999999999999999,22.0,2.2890288829803467,1.3228467937120853e-12,-6.0
84,4,0.8999999999999999,17.0,1.7808709144592285,7.334877789491062e-13,-6.0
85,5,0.9999999999999999,13.0,1.3251464366912842,4.4795849413027834e-14,-6.0
86,6,1.0999999999999999,11.0,1.1324772834777832,2.347337974710071e-15,-6.0
87,7,1.2,15.0,1.5601646900177002,3.767324654209675e-15,-6.0
88,8,1.3,19.0,2.0883820056915283,9.7426452131605e-15,-6.0
89,9,1.4000000000000001,23.0,2.3642454147338867,1.18891558305767e-13,-6.0
90,10,1.5000000000000002,30.0,3.0887064933776855,4.5478100288167254e-14,-6.0
91,11,1.6000000000000003,39.0,4.021697044372559,1.8280939648809037e-13,-6.0
92,12,1.7000000000000004,55.0,5.7196900844573975,2.011804581160078e-13,-6.0
93,13,1.8000000000000005,87.0,9.12769341468811,2.3818824409746333e-13,-6.0
94,14,1.9000000000000006,176.0,18.34216594696045,9.57917425274285e-13,-6.0
95,15,2.0000000000000004,300.0,31.385044813156128,7016.94717774886,-6.0
96,0,0.5,52.0,6.066442251205444,1.1763082517549527e-13,-7.0
97,1,0.6,41.0,4.561768293380737,4.914957950042301e-14,-7.0
98,2,0.7,33.0,3.6836464405059814,1.5891108434212662e-14,-7.0
99,3,0.7999999999999999,26.0,2.764744758605957,9.292250630159629e-15,-7.0
100,4,0.8999999999999999,20.0,2.279914140701294,5.436865126834055e-15,-7.0
101,5,0.9999999999999999,15.0,1.5599212646484375,4.1727759674823285e-16,-7.0
102,6,1.0999999999999999,12.0,1.3062512874603271,1.8264826740492903e-16,-7.0
103,7,1.2,16.0,1.643777847290039,2.5742318138709123e-16,-7.0
104,8,1.3,21.0,2.158601760864258,1.0636822461310458e-16,-7.0
105,9,1.4000000000000001,26.0,2.727532386779785,3.6338525928702726e-16,-7.0
106,10,1.5000000000000002,33.0,3.4750373363494873,1.1071154534404784e-15,-7.0
107,11,1.6000000000000003,44.0,4.616676092147827,1.5635644753369981e-15,-7.0
108,12,1.7000000000000004,60.0,6.334887981414795,6.5935360813010945e-15,-7.0
109,13,1.8000000000000005,96.0,10.344689130783081,3.4051589472826358e-15,-7.0
110,14,1.9000000000000006,199.0,21.80469799041748,7.86735048183864e-15,-7.0
111,15,2.0000000000000004,300.0,32.91816520690918,7016.94717774886,-7.0
112,0,0.5,60.0,6.656166076660156,1.2289885515455157e-15,-8.0
113,1,0.6,47.0,5.147533178329468,5.618585629408173e-16,-8.0
114,2,0.7,37.0,4.02916693687439,3.4068611372291636e-16,-8.0
115,3,0.7999999999999999,30.0,3.2535560131073,6.52909762766724e-17,-8.0
116,4,0.8999999999999999,23.0,2.487135648727417,4.03123821442914e-17,-8.0
117,5,0.9999999999999999,17.0,1.8577172756195068,3.887988586885251e-18,-8.0
118,6,1.0999999999999999,14.0,1.5147740840911865,1.5852957795356584e-19,-8.0
119,7,1.2,18.0,1.9447965621948242,5.415392131508984e-19,-8.0
120,8,1.3,23.0,2.4921529293060303,6.820980319117731e-19,-8.0
121,9,1.4000000000000001,28.0,3.0339581966400146,1.0762303100078312e-17,-8.0
122,10,1.5000000000000002,36.0,3.9295966625213623,1.634215498579723e-17,-8.0
123,11,1.6000000000000003,49.0,5.325375556945801,9.625848323330433e-18,-8.0
124,12,1.7000000000000004,68.0,7.356500864028931,1.7492897896318614e-17,-8.0
125,13,1.8000000000000005,106.0,11.604077577590942,6.052518912757424e-17,-8.0
126,14,1.9000000000000006,222.0,23.636566638946533,6.939914602966513e-17,-8.0
127,15,2.0000000000000004,300.0,32.96013045310974,7016.94717774886,-8.0
128,0,0.5,68.0,7.643751382827759,1.2841334008153125e-17,-9.0
129,1,0.6,53.0,5.953184127807617,6.423425645195641e-18,-9.0
130,2,0.7,42.0,4.675722122192383,2.7950293600320656e-18,-9.0
131,3,0.7999999999999999,33.0,3.642019033432007,1.584623958965974e-18,-9.0
132,4,0.8999999999999999,26.0,2.8495352268218994,2.989288915231211e-19,-9.0
133,5,0.9999999999999999,19.0,2.085175037384033,3.622965956395542e-20,-9.0
134,6,1.0999999999999999,15.0,1.625636100769043,8.95248930419532e-22,-9.0
135,7,1.2,19.0,2.1036272048950195,2.3845081143967018e-20,-9.0
136,8,1.3,24.0,2.640326499938965,4.7121726510933247e-20,-9.0
137,9,1.4000000000000001,30.0,3.3254125118255615,1.9202733691569267e-19,-9.0
138,10,1.5000000000000002,40.0,4.453260660171509,1.0288961962071464e-19,-9.0
139,11,1.6000000000000003,53.0,5.879060506820679,1.4175784812990598e-19,-9.0
140,12,1.7000000000000004,73.0,8.039440393447876,5.557204833065886e-19,-9.0
141,13,1.8000000000000005,115.0,12.642016887664795,9.171199028873512e-19,-9.0
142,14,1.9000000000000006,240.0,26.45991802215576,1.3800679597436217e-18,-9.0
143,15,2.0000000000000004,300.0,33.38864707946777,7016.94717774886,-9.0
144,0,0.5,77.0,8.633543252944946,7.586981123741572e-20,-10.0
145,1,0.6,60.0,6.611468315124512,3.4855748365296217e-20,-10.0
146,2,0.7,47.0,5.1966657638549805,2.2931293587918295e-20,-10.0
147,3,0.7999999999999999,37.0,4.06976842880249,1.1135225269786871e-20,-10.0
148,4,0.8999999999999999,29.0,3.1604130268096924,2.216732788527021e-21,-10.0
149,5,0.9999999999999999,21.0,2.2821567058563232,3.37651297975809e-22,-10.0
150,6,1.0999999999999999,16.0,1.732527732849121,2.0167972531052386e-23,-10.0
151,7,1.2,21.0,2.2874584197998047,9.818711701007424e-24,-10.0
152,8,1.3,26.0,2.8181097507476807,4.766442411758341e-22,-10.0
153,9,1.4000000000000001,33.0,3.821773052215576,7.264076917343883e-22,-10.0
154,10,1.5000000000000002,44.0,4.907753944396973,5.191766482027923e-22,-10.0
155,11,1.6000000000000003,58.0,6.47137188911438,7.304400114684931e-22,-10.0
156,12,1.7000000000000004,82.0,9.44661545753479,1.2707225493616764e-21,-10.0
157,13,1.8000000000000005,129.0,14.271692514419556,2.4785265606064497e-21,-10.0
158,14,1.9000000000000006,264.0,30.30341625213623,1.4273628647474776e-20,-10.0
159,15,2.0000000000000004,300.0,33.66847109794617,7016.94717774886,-10.0
