,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0.5,17,0.012496232986450195,8.081009497600075e-06,0.001
1,0.6,14,0.012345314025878906,4.632189754225765e-06,0.001
2,0.7,12,0.008243799209594727,1.873898057880034e-06,0.001
3,0.7999999999999999,10,0.006772041320800781,9.90735588773631e-07,0.001
4,0.8999999999999999,8,0.004776477813720703,7.124566661710897e-07,0.001
5,0.9999999999999999,7,0.004227161407470703,6.742087132429318e-08,0.001
6,1.0999999999999999,7,0.004210948944091797,3.901677041804857e-10,0.001
7,1.2,9,0.005343914031982422,2.207589886284793e-09,0.001
8,1.3,10,0.00537419319152832,9.058580523223924e-08,0.001
9,1.4000000000000001,13,0.006796360015869141,1.1541101078890943e-08,0.001
10,1.5000000000000002,15,0.00836801528930664,2.173910992601986e-07,0.001
11,1.6000000000000003,20,0.010022878646850586,1.2635034868621893e-07,0.001
12,1.7000000000000004,26,0.013060331344604492,4.286507517566154e-07,0.001
13,1.8000000000000005,42,0.02080392837524414,3.9050575209385545e-07,0.001
14,1.9000000000000006,81,0.03924393653869629,2.586438202540025e-06,0.001
15,2.0000000000000004,301,0.1457076072692871,39.67660056082529,0.001
