,num_interacoes,tempos,erros,tolerancia
0,343,36.16731786727905,8.861893291157932e-05,-1
1,377,39.25307655334473,1.0298088659903869e-06,-2
2,399,42.11817121505737,8.671782038957129e-08,-3
3,420,43.842074394226074,4.552042407425325e-09,-4
4,437,46.03973650932312,3.411034445761264e-10,-5
5,453,47.79752159118652,1.2632547273794942e-11,-6
6,464,48.770559310913086,1.3044094484485113e-12,-7
7,476,50.320379972457886,1.8298399510521732e-13,-8
8,490,51.817789793014526,1.4745460037637353e-14,-9
9,502,54.27088928222656,1.2390227065399778e-15,-10
